schedule,n_looks,correction,msprt_tau_frac,lift,rejection_rate,mc_se
fixed_horizon,1,uncorrected,,0.0,0.0531,0.0022423289232402993
fixed_horizon,1,obrien_fleming,,0.0,0.0531,0.0022423289232402993
fixed_horizon,1,msprt_tau0.05,0.05,0.0,0.0,0.0
fixed_horizon,1,msprt_tau0.1,0.1,0.0,0.0008,0.0002827295527531567
fixed_horizon,1,msprt,0.2,0.0,0.0024,0.0004893097178679368
fixed_horizon,1,msprt_tau0.5,0.5,0.0,0.0016,0.0003996798718974975
fixed_horizon,1,msprt_tau1,1.0,0.0,0.0007,0.00026448251359967073
fixed_horizon,1,msprt_tau2,2.0,0.0,0.0003,0.00017317909804592468
weekly,2,uncorrected,,0.0,0.0891,0.002848880306365994
weekly,2,obrien_fleming,,0.0,0.0504,0.0021876891918186183
weekly,2,msprt_tau0.05,0.05,0.0,0.0,0.0
weekly,2,msprt_tau0.1,0.1,0.0,0.0008,0.0002827295527531567
weekly,2,msprt,0.2,0.0,0.0038,0.0006152690468404858
weekly,2,msprt_tau0.5,0.5,0.0,0.0035,0.0005905717568594015
weekly,2,msprt_tau1,1.0,0.0,0.0016,0.0003996798718974975
weekly,2,msprt_tau2,2.0,0.0,0.0007,0.00026448251359967073
every_3_days,5,uncorrected,,0.0,0.1522,0.0035921464335408157
every_3_days,5,obrien_fleming,,0.0,0.0315,0.0017466467874186814
every_3_days,5,msprt_tau0.05,0.05,0.0,0.0,0.0
every_3_days,5,msprt_tau0.1,0.1,0.0,0.0014,0.0003739037309254884
every_3_days,5,msprt,0.2,0.0,0.0064,0.0007974358908401352
every_3_days,5,msprt_tau0.5,0.5,0.0,0.0068,0.0008218126307133518
every_3_days,5,msprt_tau1,1.0,0.0,0.005,0.0007053367989832942
every_3_days,5,msprt_tau2,2.0,0.0,0.0025,0.0004993746088859545
daily,14,uncorrected,,0.0,0.2272,0.004190228633380283
daily,14,obrien_fleming,,0.0,0.0184,0.00134392856953039
daily,14,msprt_tau0.05,0.05,0.0,0.0,0.0
daily,14,msprt_tau0.1,0.1,0.0,0.0017,0.00041195994950965806
daily,14,msprt,0.2,0.0,0.0088,0.0009339464652751785
daily,14,msprt_tau0.5,0.5,0.0,0.0134,0.001149801722037326
daily,14,msprt_tau1,1.0,0.0,0.0097,0.0009800974441350207
daily,14,msprt_tau2,2.0,0.0,0.0054,0.0007328601503697688
twice_daily,14,uncorrected,,0.0,0.2272,0.004190228633380283
twice_daily,14,obrien_fleming,,0.0,0.0184,0.00134392856953039
twice_daily,14,msprt_tau0.05,0.05,0.0,0.0,0.0
