rho,realized,theoretical,gap
0.0,2.2294993767268956e-05,0.0,2.2294993767268956e-05
0.1,0.009970546454037721,0.010000000000000002,-2.9453545962281058e-05
0.2,0.03999372344076302,0.04000000000000001,-6.276559236989554e-06
0.3,0.09012427128353773,0.09,0.0001242712835377302
0.4,0.1599411844896762,0.16000000000000003,-5.881551032382859e-05
0.5,0.24961631689514308,0.25,-0.00038368310485692447
0.6,0.3595584016073333,0.36,-0.00044159839266666445
0.7,0.4901437291638736,0.48999999999999994,0.00014372916387367374
0.8,0.64010334979309,0.6400000000000001,0.00010334979308990189
0.9,0.8100451409531829,0.81,4.514095318286504e-05
